raw_sentence,tag,cleaned_sentence
"the filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching . 
",positive,the filmmaker try to balance point often incisive satire and unabashed sweetness with result that be sometimes brace sometimes baffling and quite often and in unexpected way touching
"a sobering and powerful documentary about the most severe kind of personal loss : rejection by one's mother . 
",positive,a sobering and powerful documentary about the most severe kind of personal loss rejection by one  mother
"audacious-impossible yet compelling . . . 
",positive,audacious impossible yet compelling
"often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself . 
",positive,often overwrought and at time positively irritate the film turn into an engrossing thriller almost in spite of itself
"humorous and heartfelt , douglas mcgrath's version of 'nicholas nickleby' left me feeling refreshed and hopeful . not many movies have that kind of impact on me these days . 
",positive,humorous and heartfelt douglas mcgrath  version of nicholas nickleby leave I feel refresh and hopeful not many movie have that kind of impact on I these day
"a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem . 
",positive,a poignant lyricism run through balzac and the little chinese seamstress that transform this story about love and culture into a cinematic poem
"this is so de palma . if you love him , you'll like it . if you don't . . . well , skip to another review . 
",positive,this be so de palma if you love he you 'll like it if you do not well skip to another review
"rouge is less about a superficial midlife crisis than it is about the need to stay in touch with your own skin , at 18 or 80 . 
",positive,rouge be less about a superficial midlife crisis than it be about the need to stay in touch with your own skin at 18 or 80
"the moral shrapnel and mental shellshock will linger long after this film has ended . 
",positive,the moral shrapnel and mental shellshock will linger long after this film have end
"o Ãšltimo suspeito ganha forÃ§a ao tambÃ©m funcionar em uma esfera adicional : a do drama familiar . 
",positive,o Ãšltimo suspeito ganha forã§a ao tambÃ © m funcionar em uma esfera adicional a do drama familiar
"unfolds in a series of achronological vignettes whose cumulative effect is chilling . 
",positive,unfold in a series of achronological vignette whose cumulative effect be chilling
"the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . 
",positive,the movie enter a realm where few non porn film venture and come across as darkly funny energetic and surprisingly gentle
"although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters . 
",positive,although the subject matter may still be too close to recent national event the film work mostly due to its superior cast of character
"it's not going to be everyone's bag of popcorn , but it definitely gives you something to chew on . 
",positive,it be not go to be everyone  bag of popcorn but it definitely give you something to chew on
"huppert and girardot give performances of exceptional honesty . 
",positive,huppert and girardot give performance of exceptional honesty
"it has that rare quality of being able to creep the living hell out of you . . . 
",positive,it have that rare quality of be able to creep the live hell out of you
"a cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall . 
",positive,a cautionary tale about the grandiosity of a college student who see himself as impervious to a fall
"an infinitely wittier version of the home alone formula . 
",positive,an infinitely witty version of the home alone formula
"feardotcom's thrills are all cheap , but they mostly work . 
",positive,feardotcom  thrill be all cheap but they mostly work
"[hayek] throws herself into this dream hispanic role with a teeth-clenching gusto , she strikes a potent chemistry with molina and she gradually makes us believe she is kahlo . 
",positive,hayek throw herself into this dream hispanic role with a teeth clench gusto she strike a potent chemistry with molina and she gradually make we believe she be kahlo
"mr . deeds is , as comedy goes , very silly -- and in the best way . 
",positive,mr deed be as comedy go very silly and in the good way
"you could love safe conduct ( laissez passer ) for being a subtitled french movie that is 170 minutes long . you could hate it for the same reason . 
",positive,you could love safe conduct laissez passer for be a subtitle french movie that be 170 minute long you could hate it for the same reason
"with we were soldiers , hollywood makes a valiant attempt to tell a story about the vietnam war before the pathology set in . 
",positive,with we be soldier hollywood make a valiant attempt to tell a story about the vietnam war before the pathology set in
"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '
",positive,moore be like a progressive bull in a china shop a provocateur crash into idea and special interest group as he slap together his own brand of liberalism
"broomfield reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force . 
",positive,broomfield reveal an ironic manifestation of institutionalize slavery that tie a black own record label with a white empower police force
"at just over an hour , home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 
",positive,at just over an hour home movie will leave you want more not to mention leave you with some laugh and a smile on your face
"stuart's poor-me persona needs a whole bunch of snowball's cynicism to cut through the sugar coating . but once the falcon arrives in the skies above manhattan , the adventure is on red alert . 
",positive,stuart  poor I persona need a whole bunch of snowball  cynicism to cut through the sugar coating but once the falcon arrive in the sky above manhattan the adventure be on red alert
"there is greatness here . 
",positive,there be greatness here
"boasts enough funny dialogue and sharp characterizations to be mildly amusing . 
",positive,boast enough funny dialogue and sharp characterization to be mildly amusing
"director juan jose campanella could have turned this into an argentine retread of "" iris "" or "" american beauty , "" but instead pulls a little from each film and creates something more beautiful than either of those films . 
",positive,director juan jose campanella could have turn this into an argentine retread of iris or american beauty but instead pull a little from each film and create something more beautiful than either of those film
"if you love the music , and i do , its hard to imagine having more fun watching a documentary . . . 
",positive,if you love the music and I do its hard to imagine have more fun watch a documentary
"nakata's technique is to imply terror by suggestion , rather than the overuse of special effects . 
",positive,nakata  technique be to imply terror by suggestion rather than the overuse of special effect
" "" 13 conversations about one thing "" is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling . 
",positive,13 conversation about one thing be an intelligent flick that examine many different idea from happiness to guilt in an intriguing bit of storytelling
"satin rouge is not a new , or inventive , journey , but it's encouraging to see a three-dimensional , average , middle-aged woman's experience of self-discovery handled with such sensitivity . 
",positive,satin rouge be not a new or inventive journey but it be encouraging to see a three dimensional average middle aged woman  experience of self discovery handle with such sensitivity
"though an important political documentary , this does not really make the case the kissinger should be tried as a war criminal . 
",positive,though an important political documentary this do not really make the case the kissinger should be try as a war criminal
"cannon's confidence and laid-back good spirits are , with the drumming routines , among the film's saving graces . 
",positive,cannon  confidence and lay back good spirit be with the drumming routine among the film  saving grace
"in its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation . 
",positive,in its understanding often funny way it tell a story whose restatement be validate by the change composition of the nation
"she may not be real , but the laughs are . 
",positive,she may not be real but the laugh be
"a fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries . 
",positive,a fiercely clever and subtle film capture the precarious balance between the extravagant confidence of the exile aristocracy and the cruel earnestness of the victorious revolutionary
"ok arthouse . the power of this script , and the performances that come with it , is that the whole damned thing didn't get our moral hackles up . 
",positive,ok arthouse the power of this script and the performance that come with it be that the whole damned thing do not get our moral hackle up
"the movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis . 
",positive,the movie itself be far from disappointing offer an original take on courtroom movie a few nifty twist that be so crucial to the genre and another first rate performance by top bill star bruce willi
"about schmidt is undoubtedly one of the finest films of the year . if you're not deeply touched by this movie , check your pulse . 
",positive,about schmidt be undoubtedly one of the fine film of the year if you be not deeply touch by this movie check your pulse
"the charm of revolution os is rather the way it introduces you to new , fervently held ideas and fanciful thinkers . 
",positive,the charm of revolution os be rather the way it introduce you to new fervently hold idea and fanciful thinker
"until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity . 
",positive,until its final minute this be a perceptive study of two family in crisis and of two girl whose friendship be severely test by bad luck and their own immaturity
"offers the flash of rock videos fused with solid performances and eerie atmosphere . 
",positive,offer the flash of rock video fuse with solid performance and eerie atmosphere
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie
",positive,filmmaker dana janklowicz mann and amir mann area head east far east in retell a historically significant and personal episode detail how one international city welcome ten of thousand of german jewish refugee while the world  democracie
"for all its problems . . . the lady and the duke surprisingly manages never to grow boring . . . which proves that rohmer still has a sense of his audience . 
",positive,for all its problem the lady and the duke surprisingly manage never to grow boring which prove that rohmer still have a sense of his audience
"an edifying glimpse into the wit and revolutionary spirit of these performers and their era . 
",positive,an edifying glimpse into the wit and revolutionary spirit of these performer and their era
"craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters . 
",positive,craig bartlett and director tuck tucker should be commend for illustrate the merit of fight hard for something that really matter
"the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition . 
",positive,the film be save from arenot kid cute sentimentality by a warmth that be not fake and a stately sense of composition
"this is one of the year's best films . 
",positive,this be one of the year  good film
"a fleet-footed and pleasingly upbeat family diversion . 
",positive,a fleet footed and pleasingly upbeat family diversion
"sorvino is delightful in the central role . she nearly glows with enthusiasm , sensuality and a conniving wit . 
",positive,sorvino be delightful in the central role she nearly glow with enthusiasm sensuality and a conniving wit
"it's immensely ambitious , different than anything that's been done before and amazingly successful in terms of what it's trying to do . 
",positive,it be immensely ambitious different than anything that be be do before and amazingly successful in term of what it be try to do
"the story , once it gets rolling , is nothing short of a great one . 
",positive,the story once it get roll be nothing short of a great one
"great performances , stylish cinematography and a gritty feel help make gangster no . 1 a worthwhile moviegoing experience . 
",positive,great performance stylish cinematography and a gritty feel help make gangster no 1 a worthwhile moviegoing experience
" "" mr . deeds "" is suitable summer entertainment that offers escapism without requiring a great deal of thought . 
",positive,mr deed be suitable summer entertainment that offer escapism without require a great deal of thought
"it's an ambitious film , and as with all ambitious films , it has some problems . but on the whole , you're gonna like this movie . 
",positive,it be an ambitious film and as with all ambitious film it have some problem but on the whole you be gon na like this movie
"chaiken ably balances real-time rhythms with propulsive incident . 
",positive,chaiken ably balance real time rhythm with propulsive incident
"this is an extraordinary film , not least because it is japanese and yet feels universal . 
",positive,this be an extraordinary film not least because it be japanese and yet feel universal
"in a summer overrun with movies dominated by cgi aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway . 
",positive,in a summer overrun with movie dominate by cgi alien and super hero it revigorate the mind to see a feature that concentrate on people a project in which the script and character hold sway
"there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance . 
",positive,there be just something about watch a squad of psychopathic underdogs whale the tar out of unsuspecting lawman that reach across time and distance
"a funny and touching film that is gorgeously acted by a british cast to rival gosford park's . 
",positive,a funny and touching film that be gorgeously act by a british cast to rival gosford park 
"there's nothing more satisfying during a summer of event movies than a spy thriller like the bourne identity that's packed with just as much intelligence as action . 
",positive,there be nothing more satisfying during a summer of event movie than a spy thriller like the bourne identity that be pack with just as much intelligence as action
"i'm not generally a fan of vegetables but this batch is pretty cute . 
",positive,I be not generally a fan of vegetable but this batch be pretty cute
"qutting may be a flawed film , but it is nothing if not sincere . 
",positive,qutting may be a flawed film but it be nothing if not sincere
"beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing . 
",positive,beautifully craft engage filmmaking that should attract upscale audience hungry for quality and a nostalgic twisty yarn that will keep they guess
"a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause . 
",positive,a thoughtful and surprisingly affect portrait of a screw up man who dare to mess with some powerful people see through the eye of the idealistic kid who choose to champion his ultimately lose cause
"a cultural wildcard experience : wacky , different , unusual , even nutty . 
",positive,a cultural wildcard experience wacky different unusual even nutty
"daughter from danang reveals that efforts toward closure only open new wounds . it doesn't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain . 
",positive,daughter from danang reveal that effort toward closure only open new wound it do not flinch from its unsettling prognosis namely that the legacy of war be a kind of perpetual pain
"for most of its footage , the new thriller proves that director m . night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo . 
",positive,for most of its footage the new thriller prove that director m night shyamalan can weave an eerie spell and that mel gibson can gasp shudder and even tremble without lose his machismo
"this is not an easy film . but it could be , by its art and heart , a necessary one . 
",positive,this be not an easy film but it could be by its art and heart a necessary one
"a very good film sits in the place where a masterpiece should be . 
",positive,a very good film sit in the place where a masterpiece should be
" . . . spellbinding fun and deliciously exploitative . 
",positive,spellbind fun and deliciously exploitative
"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite . 
",positive,it be jagger  bone dry mournfully brittle delivery that give the film its bittersweet bite
"impossible as it may sound , this film's heart is even more embracing than monty , if only because it accepts nasty behavior and severe flaws as part of the human condition . 
",positive,impossible as it may sound this film  heart be even more embrace than monty if only because it accept nasty behavior and severe flaw as part of the human condition
"despite the predictable parent vs . child coming-of-age theme , first-class , natural acting and a look at "" the real americans "" make this a charmer . 
",positive,despite the predictable parent vs child come of age theme first class natural acting and a look at the real american make this a charmer
"one of the smarter offerings the horror genre has produced in recent memory , even if it's far tamer than advertised . 
",positive,one of the smart offering the horror genre have produce in recent memory even if it be far tame than advertise
"one of recent memory's most thoughtful films about art , ethics , and the cost of moral compromise . 
",positive,one of recent memory  most thoughtful film about art ethic and the cost of moral compromise
"the film doesn't sustain its initial promise with a jarring , new-agey tone creeping into the second half
",positive,the film do not sustain its initial promise with a jarring new agey tone creep into the second half
"blade ii is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she's gonna make you feel like you owe her big-time . 
",positive,blade ii be as estrogen free as movie get so you might want to leave your date behind for this one or she be gon na make you feel like you owe her big time
"the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another . 
",positive,the message be that even the most unlikely can link together to conquer all kind of obstacle whether they be of nature of man or of one another
"many a parent and their teen ( or preteen ) kid could bond while watching a walk to remember . so could young romantics out on a date . 
",positive,many a parent and their teen or preteen kid could bond while watch a walk to remember so could young romantic out on a date
"all leather pants & augmented boobs , hawn is hilarious as she tries to resuscitate the fun-loving libertine lost somewhere inside the conservative , handbag-clutching sarandon . 
",positive,all leather pant augmented boob hawn be hilarious as she try to resuscitate the fun love libertine lose somewhere inside the conservative handbag clutch sarandon
"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible . it's very beavis and butthead , yet always seems to elicit a chuckle . 
",positive,the member manage to pronounce kok exactly as you think they might thus give the cast ample opportunity to use that term as often as possible it be very beavis and butthead yet always seem to elicit a chuckle
"while this gentle and affecting melodrama will have luvvies in raptures , it's far too slight and introspective to appeal to anything wider than a niche audience . 
",positive,while this gentle and affect melodrama will have luvvie in rapture it be far too slight and introspective to appeal to anything wide than a niche audience
"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them . 
",positive,chicago offer much colorful eye candy include the spectacle of gere in his dancing shoe hoof and croon with the good of they
"a difficult but worthy film that bites off more than it can chew by linking the massacre of armenians in 1915 with some difficult relationships in the present . 
",positive,a difficult but worthy film that bite off more than it can chew by link the massacre of armenian in 1915 with some difficult relationship in the present
"by and large this is mr . kilmer's movie , and it's his strongest performance since the doors . 
",positive,by and large this be mr kilmer  movie and it be his strong performance since the door
"some of the most ravaging , gut-wrenching , frightening war scenes since "" saving private ryan "" have been recreated by john woo in this little-known story of native americans and their role in the second great war . 
",positive,some of the most ravaging gut wrench frightening war scene since save private ryan have be recreate by john woo in this little know story of native american and their role in the second great war
"a charming but slight comedy . 
",positive,a charming but slight comedy
"henry bean's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect
",positive,henry bean  thoughtful screenplay provide no easy answer but offer a compelling investigation of faith versus intellect
"a great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family . 
",positive,a great cast and a wonderful but sometimes confusing flashback movie about grow up in a dysfunctional family
"playing a role of almost bergmanesque intensity . . . bisset is both convincing and radiant . 
",positive,play a role of almost bergmanesque intensity bisset be both convincing and radiant
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic . 
",positive,a smart provocative drama that do the nearly impossible it get under the skin of a man we only know as an evil monstrous lunatic
"an alternately fascinating and frustrating documentary . 
",positive,an alternately fascinating and frustrating documentary
"griffin & co . manage to be spectacularly outrageous . 
",positive,griffin co manage to be spectacularly outrageous
"nair's cast is so large it's altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion . 
",positive,nair  cast be so large it be altman esque but she deftly spin the multiple story in a vibrant and intoxicating fashion
"the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength . 
",positive,the movie play up the cartoon  more obvious strength of snazziness while neglect its less conspicuous writing strength
"poignant japanese epic about adolescent anomie and heartbreak . 
",positive,poignant japanese epic about adolescent anomie and heartbreak
"we've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world's greatest teacher . 
",positive,we 've see it all before in one form or another but director hoffman with great help from kevin kline make we care about this late reincarnation of the world  great teacher
"secretary is not a movie about fetishism . it is a movie about passion . 
",positive,secretary be not a movie about fetishism it be a movie about passion
"even though it's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you can't help but get caught up in the thrill of the company's astonishing growth . 
",positive,even though it be common knowledge that park and his found partner yong kang lose kozmo in the end you ca not help but get catch up in the thrill of the company  astonishing growth
"although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime . 
",positive,although some viewer will not be able to stomach so much tongue in cheek weirdness those who do will have find a cult favorite to enjoy for a lifetime
"what could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking . 
",positive,what could have easily become a cold calculated exercise in postmodern pastiche wind up a powerful and deeply move example of melodramatic moviemaking
"a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional . 
",positive,a delightful surprise because despite all the backstage drama this be a movie that tell story that work be charming be move be funny and look professional
"the imax screen enhances the personal touch of manual animation . 
",positive,the imax screen enhance the personal touch of manual animation
"does an impressive job of relating the complicated history of the war and of filling in the background . 
",positive,do an impressive job of relate the complicated history of the war and of fill in the background
"it's all about anakin . . . and the lustrous polished visuals rich in color and creativity and , of course , special effect . 
",positive,it be all about anakin and the lustrous polished visual rich in color and creativity and of course special effect
"lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child's interest and an adult's patience . but it also has many of the things that made the first one charming . 
",positive,lack the inspiration of the original and have a bloated plot that stretch the running time about 10 minute past a child  interest and an adult  patience but it also have many of the thing that make the first one charming
"it's funny , touching , dramatically forceful , and beautifully shot . 
",positive,it be funny touching dramatically forceful and beautifully shoot
"its rawness and vitality give it considerable punch . 
",positive,its rawness and vitality give it considerable punch
"a live-wire film that never loses its ability to shock and amaze . 
",positive,a live wire film that never lose its ability to shock and amaze
"the year's greatest adventure , and jackson's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate . 
",positive,the year  great adventure and jackson  limited but enthusiastic adaptation have make literature literal without kill its soul a feat any thinking person be bind to appreciate
"it's fairly solid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark . 
",positive,it be fairly solid not to mention well edit so that it certainly do not feel like a film that stray past the two and a half mark
"brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life . 
",positive,brim with passion for word for its eccentric accident prone character and for the crazy thing that keep people go in this crazy life
"it's secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours . 
",positive,it be secondary to american psycho but still have claw enough to get inside you and stay there for a couple of hour
"the hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame . 
",positive,the hour a delicately craft film be an impressive achievement in spite of a river of sadness that pour into every frame
"fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing . 
",positive,fudge fact and fancy with such confidence that we feel as if we be see something pure than the real thing
"this is unusual , food-for-thought cinema that's as entertaining as it is instructive . 
",positive,this be unusual food for thought cinema that be as entertaining as it be instructive
"with an expressive face reminiscent of gong li and a vivid personality like zhang ziyi's , dong stakes out the emotional heart of happy . 
",positive,with an expressive face reminiscent of gong li and a vivid personality like zhang ziyi  dong stake out the emotional heart of happy
"nohe's documentary about the event is sympathetic without being gullible : he isn't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction . 
",positive,nohe  documentary about the event be sympathetic without be gullible he be not blind to the silliness but also capture moment of spontaneous creativity and authentic co operative interaction
"it may not be as cutting , as witty or as true as back in the glory days of weekend and two or three things i know about her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ? 
",positive,it may not be as cut as witty or as true as back in the glory day of weekend and two or three thing I know about she but who else engage in filmmake today be so cognizant of the cultural and moral issue involve in the process
"secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving . 
",positive,secret ballot be a funny puzzle movie ambiguous enough to be engage and oddly move
"although devoid of objectivity and full of nostalgic comments from the now middle-aged participants , dogtown and z-boys has a compelling story to tell . 
",positive,although devoid of objectivity and full of nostalgic comment from the now middle aged participant dogtown and z boy have a compelling story to tell
"it's got some pretentious eye-rolling moments and it didn't entirely grab me , but there's stuff here to like . 
",positive,it be get some pretentious eye roll moment and it do not entirely grab I but there be stuff here to like
"birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked . 
",positive,birthday girl walk a tricky tightrope between be wickedly funny and just plain wicked
"a muted freak-out
",positive,a muted freak out
"the enjoyable undercover brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy . 
",positive,the enjoyable undercover brother a zany mix of saturday night live style parody 70 blaxploitation film and goofball action comedy go wild dish out a ton of laugh that everyone can enjoy
"brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness . 
",positive,bring an irresistible blend of warmth and humor and a consistent embrace humanity in the face of life  harshness
"jackson is always watchable . 
",positive,jackson be always watchable
"to the degree that ivans xtc . works , it's thanks to huston's revelatory performance . 
",positive,to the degree that ivan xtc work it be thank to huston  revelatory performance
"a wild ride of a movie that keeps throwing fastballs . 
",positive,a wild ride of a movie that keep throw fastball
"confessions is without a doubt a memorable directorial debut from king hunk . 
",positive,confession be without a doubt a memorable directorial debut from king hunk
"weird , vulgar comedy that's definitely an acquired taste . 
",positive,weird vulgar comedy that be definitely an acquire taste
"a . . . cynical and serious look at teenage boys doing what they do best - being teenagers . 
",positive,a cynical and serious look at teenage boy do what they do well be teenager
"the film is a very good viewing alternative for young women . 
",positive,the film be a very good view alternative for young woman
"australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them . 
",positive,australian filmmaker david flatman use the huge screen format to make an old fashioned nature film that educate viewer with word and picture while entertain they
"a dazzling dream of a documentary . 
",positive,a dazzling dream of a documentary
"a keep-'em-guessing plot and an affectionate take on its screwed-up characters . 
",positive,a keep-'em guess plot and an affectionate take on its screw up character
"moving and vibrant . 
",positive,move and vibrant
"brave and sweetly rendered love story . 
",positive,brave and sweetly render love story
"the film proves unrelentingly grim -- and equally engrossing . 
",positive,the film prove unrelentingly grim and equally engrossing
"a hallmark film in an increasingly important film industry and worth the look . 
",positive,a hallmark film in an increasingly important film industry and worth the look
"the last kiss will probably never achieve the popularity of my big fat greek wedding , but its provocative central wedding sequence has far more impact . 
",positive,the last kiss will probably never achieve the popularity of my big fat greek wedding but its provocative central wedding sequence have far more impact
"if you like blood , guts and crazy beasts stalking men with guns though . . . you will likely enjoy this monster . 
",positive,if you like blood gut and crazy beast stalk man with gun though you will likely enjoy this monster
"the difference between cho and most comics is that her confidence in her material is merited . 
",positive,the difference between cho and most comic_strip be that her confidence in her material be merit
"sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people . 
",positive,sad to say it accurately reflect the rage and alienation that fuel the self destructiveness of many young people
"there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye . 
",positive,there be a strong directorial stamp on every frame of this stylish film that be able to visualize schizophrenia but be still confident enough to step back and look at the sick character with a sane eye
"'anyone with a passion for cinema , and indeed sex , should see it as soon as possible . '
",positive,anyone with a passion for cinema and indeed sex should see it as soon as possible
"seeks to transcend its genre with a curiously stylized , quasi-shakespearean portrait of pure misogynist evil . 
",positive,seek to transcend its genre with a curiously stylized quasi shakespearean portrait of pure misogynist evil
"mordantly funny and intimately knowing . . . 
",positive,mordantly funny and intimately know
"what makes the movie special is its utter sincerity . 
",positive,what make the movie special be its utter sincerity
"fast and funny , an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd . 
",positive,fast and funny an action cartoon that be suspenseful enough for old kid but not too scary for the school age crowd
"one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace . 
",positive,one of those rare film that come by once in a while with flawless amount of acting direction story and pace
"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement . and vin diesel is the man . 
",positive,the aaa of action xxx be a blast of adrenalin rate eee for excitement and vin diesel be the man
"earnest , unsubtle and hollywood-predictable , green dragon is still a deeply moving effort to put a human face on the travail of thousands of vietnamese . 
",positive,earnest unsubtle and hollywood predictable green dragon be still a deeply moving effort to put a human face on the travail of thousand of vietnamese
"an ambitious movie that , like shiner's organizing of the big fight , pulls off enough of its effects to make up for the ones that don't come off . 
",positive,an ambitious movie that like shiner  organizing of the big fight pull off enough of its effect to make up for the one that do not come off
"nair and writer laura cahill dare to build a movie around some flawed but rather unexceptional women , emerging with a fine character study that's short on plot but rich in the tiny revelations of real life . 
",positive,nair and writer laura cahill dare to build a movie around some flawed but rather unexceptional woman emerge with a fine character study that be short on plot but rich in the tiny revelation of real life
"the film's unhurried pace is actually one of its strengths . entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn . 
",positive,the film  unhurried pace be actually one of its strength entirely appropriately the tale unfold like a lazy summer afternoon and conclude with the crisp clarity of a fall dawn
"despite its floating narrative , this is a remarkably accessible and haunting film . 
",positive,despite its float narrative this be a remarkably accessible and haunt film
"vibrantly colored and beautifully designed , metropolis is a feast for the eyes . 
",positive,vibrantly colored and beautifully design metropolis be a feast for the eye
"sweetly sexy , funny and touching . 
",positive,sweetly sexy funny and touching
" . . . while dark water isn't a complete wash ( no pun intended ) , watched side-by-side with ringu , it ultimately comes off as a pale successor . 
",positive,while dark water be not a complete wash no pun intend watch side by side with ringu it ultimately come off as a pale successor
"is truth stranger than fiction ? in [screenwriter] charlie kaufman's world , truth and fiction are equally strange , and his for the taking . 
",positive,be truth strange than fiction in screenwriter charlie kaufman  world truth and fiction be equally strange and his for the taking
"for decades we've marveled at disney's rendering of water , snow , flames and shadows in a hand-drawn animated world . prepare to marvel again . 
",positive,for decade we 've marvel at disney  rendering of water snow flame and shadow in a hand draw animate world prepare to marvel again
"a witty , low-key romantic comedy . 
",positive,a witty low key romantic comedy
"more good than great but freeman and judd make it work . 
",positive,more good than great but freeman and judd make it work
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film . 
",positive,if you be look for a smart nuanced look at de sade and what might have happen at picpus sade be your film
"could have been crisper and punchier , but it's likely to please audiences who like movies that demand four hankies . 
",positive,could have be crisp and punchy but it be likely to please audience who like movie that demand four hankie
"together writer-director danny verete's three tales comprise a powerful and reasonably fulfilling gestalt . 
",positive,together writer director danny verete  three tale comprise a powerful and reasonably fulfil gestalt
"bursting through the constraints of its source , this is one adapted- from-television movie that actually looks as if it belongs on the big screen . 
",positive,burst through the constraint of its source this be one adapted- from television movie that actually look as if it belong on the big screen
" . . . quite endearing . 
",positive,quite endearing
"its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story . 
",positive,its almost too spectacular coastal setting distract slightly from an eccentric and good naturedly aimless story
"in other words , it's just another sports drama/character study . yet this one makes up for in heart what it lacks in outright newness . plus , like i already mentioned . . . it's robert duvall ! c'mon ! 
",positive,in other word it be just another sport drama character study yet this one make up for in heart what it lack in outright newness plus like I already mention it be robert duvall c'm on
"this story of a determined woman's courage to find her husband in a war zone offers winning performances and some effecting moments . 
",positive,this story of a determined woman  courage to find her husband in a war zone offer win performance and some effect moment
